城市,年份,地区生产总值（当年价格）(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),地方一般公共预算支出(亿元),地方一般公共预算收入(亿元),年末户籍人口(万人),城镇非私营单位在岗职工平均工资(元),住户存款余额(亿元),房地产开发投资额(亿元),商品房销售面积(万平方米),商品房平均销售价格(元/平方米),住宅商品房销售面积(万平方米),住宅商品房平均销售价格(元/平方米)
上海,2012年,21305.6,129.3,8174.1,13002.1,4184.02,3743.71,1426.93,80191.0,19506.7,2381.36,1898.46,14061.37,1592.63,13869.88
上海,2013年,23204.1,131.6,8286.5,14786.0,4528.61,4109.51,1432.34,91477.0,20486.25,2819.59,2382.2,16420.0,2015.81,16192.0
上海,2014年,25269.8,132.0,8633.3,16504.5,4923.44,4585.55,1438.69,100623.0,21269.3,3206.48,2084.66,16787.0,1780.91,16415.0
上海,2015年,26887.0,125.5,8408.7,18352.8,6191.56,5519.5,1442.97,109279.0,23384.73,3468.94,2431.36,20949.0,2009.17,21501.0
上海,2016年,29887.0,114.3,8570.2,21202.4,6918.94,6406.13,1450.0,120503.0,23639.8,3709.03,2705.69,24747.0,2019.8,25910.0
上海,2017年,32925.0,110.8,9525.9,23288.3,7547.62,6642.26,1455.13,130765.0,24338.48,3856.53,1691.6,23804.0,1341.62,24866.0
上海,2018年,36011.8,104.8,10360.8,25546.3,8351.54,7108.15,1462.38,142983.0,27071.74,4033.18,1767.01,26890.08,1333.29,28981.11
上海,2019年,37987.55,107.06,10193.6,27686.89,8179.28,7165.1,1469.3,151772.0,31727.73,4231.38,1696.34,30677.0,1353.7,32926.0
上海,2020年,38963.3,107.68,10258.57,28597.05,8102.11,7046.3,,174678.0,36733.97,4698.75,1789.16,33798.0,1434.07,36741.0
上海,2021年,43653.17,96.09,11366.69,32190.39,8430.86,7771.8,,196053.0,41150.4,5035.18,1880.45,36102.0,1489.95,40974.0
乌鲁木齐,2012年,2004.1,25.0,829.0,1150.0,295.6,252.01,257.8,51135.0,1715.97,220.69,371.61,5639.12,337.3,5255.04
乌鲁木齐,2013年,2202.85,26.31,875.1,1301.44,353.2,301.9,262.93,56680.0,1896.3,270.59,535.67,6111.0,488.54,5858.0
乌鲁木齐,2014年,2461.47,27.43,906.01,1528.03,404.81,340.62,266.91,61617.0,1974.84,329.98,461.79,6429.0,401.75,5758.0
乌鲁木齐,2015年,2631.64,31.64,787.37,1812.62,446.66,368.67,266.83,67617.0,2157.31,366.87,524.96,6669.0,465.41,6142.0
乌鲁木齐,2016年,2458.98,28.03,704.01,1726.69,417.56,369.67,267.87,73254.0,2295.69,362.5,582.0,6314.0,519.66,5829.0
乌鲁木齐,2017年,2743.82,29.62,827.63,1886.56,458.58,400.78,222.62,78072.0,2600.39,422.74,606.94,6668.0,525.97,6188.0
乌鲁木齐,2018年,3099.77,25.32,948.18,2126.26,659.79,458.28,222.26,85990.0,2871.11,659.15,605.3,8357.46,509.28,7757.03
乌鲁木齐,2019年,3413.0,27.69,906.14,2479.43,620.28,472.46,226.82,90729.0,3171.71,544.13,657.42,8690.0,566.85,8728.0
乌鲁木齐,2020年,3337.0,27.0,908.0,2402.0,536.87,392.64,,98945.0,3680.28,550.4,716.09,8081.0,636.84,7959.0
乌鲁木齐,2021年,3691.57,28.1,1039.76,2623.71,419.59,377.93,,111044.0,4027.86,537.77,764.16,8116.0,703.06,8013.0
兰州,2012年,1563.8,44.6,744.7,774.6,202.6,103.73,321.52,44488.0,1743.18,209.74,190.35,5697.52,176.75,5420.67
兰州,2013年,1776.28,49.12,820.43,906.74,242.34,124.5,368.57,49424.0,2021.56,257.44,253.46,5868.0,237.35,5520.0
兰州,2014年,2000.94,52.44,824.88,1123.61,280.1,152.33,374.67,54008.0,2262.94,317.08,480.36,6460.0,439.43,5860.0
兰州,2015年,2095.99,56.22,782.65,1257.11,344.0,185.19,321.9,62201.0,2608.54,320.56,628.12,6495.0,578.62,6089.0
兰州,2016年,2264.23,60.45,789.99,1413.79,424.16,215.48,324.23,67011.0,2796.24,391.15,828.79,6601.0,713.92,6162.0
兰州,2017年,2523.54,61.47,881.74,1580.34,429.36,234.2,325.55,75709.0,2949.27,418.26,697.93,7634.0,609.4,7137.0
兰州,2018年,2732.94,42.98,937.98,1751.97,465.64,253.32,328.48,85575.0,3244.08,575.22,642.42,7923.93,565.93,7231.87
兰州,2019年,2837.0,51.67,945.38,1840.3,456.66,233.23,331.92,88393.0,3571.18,550.67,718.44,7626.0,673.48,7332.0
兰州,2020年,2887.0,57.0,934.0,1896.0,486.24,247.13,,93847.0,3859.63,553.77,846.48,8401.0,796.79,8281.0
兰州,2021年,3231.29,62.52,1113.91,2054.86,484.59,276.73,,96793.0,4082.97,602.76,799.58,7941.0,761.54,7795.0
北京,2012年,19024.7,148.4,3856.0,15020.3,3685.31,3314.93,1297.46,85306.0,21644.9,3153.44,1943.74,17021.63,1483.37,16553.48
北京,2013年,21134.6,159.8,4168.3,16806.5,4173.66,3661.11,1316.34,93997.0,23086.41,3483.4,1903.11,18553.0,1363.67,17854.0
北京,2014年,22926.0,159.2,4433.0,18333.9,4524.67,4027.16,1333.4,103400.0,24158.4,3715.33,1454.19,18833.0,1136.53,18499.0
北京,2015年,24779.1,140.4,4419.8,20218.9,5737.7,4723.86,1345.2,113073.0,23913.97,4177.05,1554.25,22633.0,1126.84,22300.0
北京,2016年,27041.2,129.8,4665.8,22245.7,6406.77,5081.26,1362.86,122749.0,28012.03,4000.57,1658.93,27497.0,981.37,28489.0
北京,2017年,29883.0,121.9,5049.4,24711.7,6824.53,5430.79,1359.2,134994.0,28962.2,3692.54,869.95,32140.0,608.78,34117.0
北京,2018年,33106.0,120.6,5477.4,27508.1,7471.43,5785.92,1375.8,149843.0,34018.96,3873.35,696.19,34142.89,526.76,37420.19
北京,2019年,35445.13,114.38,5667.37,29663.38,7408.19,5817.1,1397.4,173205.0,37309.68,3838.38,938.86,35905.0,789.02,38433.0
北京,2020年,35943.25,108.28,5739.09,30095.88,7116.18,5483.89,,185026.0,42888.77,3938.71,970.88,37665.0,733.59,42684.0
北京,2021年,41045.63,111.41,7389.03,33545.19,7205.12,5932.31,,201504.0,47184.31,4139.03,1107.07,40526.0,877.1,46941.0
南京,2012年,7201.6,185.1,3170.8,3845.7,769.66,733.02,638.48,63152.0,4465.37,971.96,950.87,10106.36,876.25,9674.84
南京,2013年,8011.78,204.64,3450.58,4356.56,850.91,831.31,643.09,66222.0,4883.29,1037.71,1222.01,11495.0,1143.15,11078.0
南京,2014年,8820.75,214.25,3623.48,4983.02,921.2,903.49,648.72,77286.0,5055.77,1125.49,1207.58,11198.0,1124.73,10964.0
南京,2015年,9720.77,232.39,3916.77,5571.61,1045.57,1020.03,653.4,81075.0,5535.53,1429.02,1543.16,11489.0,1429.18,11260.0
