positionId,positionName,companyFullName,companyShortName,companySize,financeStage,industryField,companyLabelList,firstType,positionLables,industryLables,createTime,city,district,businessZones,salary,salaryMonth,workYear,jobNature,education,positionAdvantage
8280292,资深数据分析师,北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,企业服务,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",开发|测试|运维类,['数据分析'],[],2021/4/26 10:00,北京,海淀区,,15k-30k,14,3-5年,全职,本科,"发展空间大,弹性工作制,领导Nice"
8437217,数据分析实习生,北京字节跳动网络技术有限公司,字节跳动,2000人以上,D轮及以上,"内容资讯,短视频","['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",开发|测试|运维类,['后端开发'],['后端开发'],2021/4/28 5:18,北京,海淀区,,3k-6k,0,在校/应届,实习,本科,"下午茶,健身瑜伽,免费三餐,弹性工作"
6559839,数据分析师,欧科互动网络科技（北京）有限公司,欧科云链集团,500-2000人,不需要融资,区块链,"['节日礼物', '年度旅游', '扁平管理', '领导好']",产品|需求|项目类,['数据分析'],[],2021/4/26 16:03,北京,海淀区,"['西北旺', '上地', '清河']",25k-45k,0,5-10年,全职,本科,大牛团队 发展前景 薪资客观
8168535,数据分析师,欧科互动网络科技（北京）有限公司,欧科云链集团,500-2000人,不需要融资,区块链,"['节日礼物', '年度旅游', '扁平管理', '领导好']",产品|需求|项目类,"['商业', 'SQL', '数据分析']",[],2021/4/26 16:03,北京,海淀区,"['西北旺', '上地', '清河']",15k-30k,14,1-3年,全职,本科,发展前景好，大牛团队
8438943,数据分析师,北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,"工具类产品,在线教育","['五险一金', '弹性工作', '带薪年假', '免费两餐']",产品|需求|项目类,"['数据分析', 'hive', 'SQL']",[],2021/4/26 10:00,北京,海淀区,,15k-25k,0,1-3年,全职,本科,15薪
8419391,数据分析实习生,北京字节跳动网络技术有限公司,字节跳动,2000人以上,D轮及以上,"内容资讯,短视频","['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",运营|编辑|客服类,['运营'],[],2021/4/28 4:58,北京,海淀区,,2k-4k,0,在校/应届,实习,本科,"下午茶,团队氛围好,扁平管理,用户过亿"
8379695,数据分析工程师,民生科技有限责任公司,民生科技,500-2000人,不需要融资,"金融业,科技金融","['弹性工作', '五险一金', '补充医疗', '现金福利']",开发|测试|运维类,['数据分析'],['数据分析'],2021/4/27 14:57,北京,东城区,['安定门'],20k-40k,0,3-5年,全职,本科,福利好
8413911,数据分析工程师,北京京邦达贸易有限公司,京东物流,2000人以上,A轮,物流｜运输,"['免费班车', '餐补', '安居计划', '福利产假']",开发|测试|运维类,"['数据敏感', '认真仔细']",[],2021/4/26 19:21,北京,大兴区,['亦庄'],18k-36k,14,在校/应届,全职,本科,餐补；带薪年假；住房补贴；补充医疗保险；
8566998,游戏数据分析师,杭州边锋网络技术有限公司,边锋,2000人以上,不需要融资,游戏,"['交通补助', '绩效奖金', '节日礼物', '定期体检']",产品|需求|项目类,"['游戏', '数据分析']","['游戏', '数据分析']",2021/4/27 10:39,北京,海淀区,"['北下关', '双榆树']",20k-30k,0,3-5年,全职,本科,国企待遇优厚
8516264,数据分析师,北京琥珀创想科技有限公司,琥珀创想,50-150人,不需要融资,工具类产品,"['绩效奖金', '提供工作餐', '定期团建', '交通补助']",产品|需求|项目类,"['数据分析', 'SQL', 'python']",[],2021/4/27 22:57,北京,朝阳区,,15k-25k,0,1-3年,全职,本科,午晚餐；六险一金；高效协作的团队；信息共享；
7783340,数据分析师,小叶子（北京）科技有限公司,小叶子The ONE,500-2000人,D轮及以上,在线教育,"['优秀团队', '技术大牛多', '五险一金', '弹性工作']",产品|需求|项目类,"['移动互联网', '用户增长', '数据分析', '在线教育产品']","['移动互联网', '用户增长', '数据分析', '在线教育产品']",2021/4/27 22:46,北京,朝阳区,"['望京', '来广营']",15k-20k,13,1-3年,全职,本科,"免费午晚餐,交通补助,五险一金,优秀团队"
8431867,数据分析师,小叶子（北京）科技有限公司,小叶子The ONE,500-2000人,D轮及以上,在线教育,"['优秀团队', '技术大牛多', '五险一金', '弹性工作']",开发|测试|运维类,"['在线教育', '数仓建模', '数据仓库', 'MySQL']","['在线教育', '数仓建模', '数据仓库', 'MySQL']",2021/4/27 22:46,北京,朝阳区,"['望京', '来广营']",15k-20k,13,3-5年,全职,本科,"免费午晚餐,交通补助,五险一金,优秀团队"
8530029,资深数据分析师,北京小米科技有限责任公司,小米集团,2000人以上,上市公司,"智能硬件,电商平台","['快速成长', '免费班车', '扁平管理', '技能培训']",开发|测试|运维类,"['内容社区', '数据挖掘', 'Python', 'MySQL', '数据分析']","['内容社区', '数据挖掘', 'Python', 'MySQL', '数据分析']",2021/4/27 22:43,北京,海淀区,,25k-40k,0,3-5年,全职,本科,福利待遇好，发展前景高
7942016,数据分析师,上海淇毓信息科技有限公司,360数科,500-2000人,上市公司,科技金融,"['年底双薪', '股票期权', '带薪年假', '定期体检']",产品|需求|项目类,['金融'],['金融'],2021/4/27 21:28,北京,朝阳区,,20k-30k,15,3-5年,全职,本科,周末双休、弹性工作、五险一金、绩效奖金
8565823,数据分析师,上海悦易网络信息技术有限公司,爱回收,2000人以上,D轮及以上,电商平台,"['节日礼物', '股票期权', '专项奖金', '带薪年假']",产品|需求|项目类,"['电商平台', '数据分析', '需求分析']","['电商平台', '数据分析', '需求分析']",2021/4/27 20:26,北京,大兴区,,20k-40k,0,5-10年,全职,本科,核心岗位
8496283,数据分析师,北京向上一心科技有限公司,老虎集团,500-2000人,上市公司,科技金融,"['绩效奖金', '年底双薪', '带薪年假', '定期体检']",开发|测试|运维类,"['科技金融', '数据分析']","['科技金融', '数据分析']",2021/4/27 19:26,北京,朝阳区,"['太阳宫', '西坝河', '三元桥']",15k-25k,14,1-3年,全职,不限,美股上市 六险一金 福利齐全 弹性工作
8355308,数据分析师,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,居住服务,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",产品|需求|项目类,"['居住服务', '数据分析', '用户增长', '需求分析']","['居住服务', '数据分析', '用户增长', '需求分析']",2021/4/27 20:31,北京,海淀区,,25k-50k,16,不限,全职,不限,平台好，福利待遇好，发展空间大
8546501,数据分析师,北京每日优鲜电子商务有限公司,每日优鲜,2000人以上,D轮及以上,电商平台,"['六险一金', '股票期权', '快速晋升', '年度体检']",综合职能|高级管理,"['电商平台', '消费生活', '分析', '财务']","['电商平台', '消费生活', '分析', '财务']",2021/4/27 20:32,北京,朝阳区,,20k-35k,16,5-10年,全职,本科,热门行业赛道
8624041,数据分析师,柔持（北京）科技有限公司,鲸鱼外教培优,500-2000人,B轮,在线教育,"['绩效奖金', '带薪年假', '节日礼物', '弹性工作']",产品|需求|项目类,"['在线教育', '数据分析', 'SQL']","['在线教育', '数据分析', 'SQL']",2021/4/27 21:01,北京,朝阳区,"['大山子', '酒仙桥']",13k-25k,13,3-5年,全职,本科,扁平化管理、快速晋升通道、六险一金
8622943,高级数据分析师,掌阅科技股份有限公司,掌阅,500-2000人,上市公司,"内容社区,音频｜视频媒体","['专项奖金', '带薪年假', '年度旅游', '扁平管理']",开发|测试|运维类,['Hive'],[],2021/4/27 19:58,北京,朝阳区,"['四惠', '十里堡', '甘露园']",18k-35k,14,3-5年,全职,本科,独立负责 发展空间大 薪酬福利优厚
8064842,数据分析师,紫光教育科技有限公司,紫光教育,150-500人,上市公司,人工智能服务,"['绩效奖金', '带薪年假', '扁平管理', '岗位晋升']",产品|需求|项目类,"['教育', '数据分析']","['教育', '数据分析']",2021/4/27 19:30,北京,海淀区,['五道口'],15k-30k,14,1-3年,全职,本科,紫光股份内初创的教育板块，发展上升期公司
7407483,数据分析师,北京当当网信息技术有限公司,当当网,2000人以上,上市公司,电商平台,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",产品|需求|项目类,"['数据分析', '数据产品']",[],2021/4/27 19:09,北京,朝阳区,"['左家庄', '国展', '西坝河']",20k-40k,0,不限,全职,本科,知名电商 发展空间大 福利丰厚 弹性制
8340681,数据分析师,北京闪送科技有限公司,闪送,500-2000人,D轮及以上,物流平台,"['股票期权', '岗位晋升', '五险一金', '高速成长']",产品|需求|项目类,['渠道投放'],[],2021/4/27 18:52,北京,海淀区,,13k-20k,15,1-3年,全职,本科,互联网平台 发展前景
8584551,数据分析专家,北京小唱科技有限公司,唱吧-玩音乐，就上唱吧！,150-500人,D轮及以上,内容社区,"['节日礼物', '股票期权', '带薪年假', '员工海外游']",开发|测试|运维类,['数据分析'],['数据分析'],2021/4/27 19:20,北京,朝阳区,,20k-40k,15,3-5年,全职,本科,团队管理扁平化、双休、七险一金、租房补助
8162876,数据分析实习生,北京字节跳动网络技术有限公司,字节跳动,2000人以上,D轮及以上,"内容资讯,短视频","['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",产品|需求|项目类,['数据分析'],['数据分析'],2021/4/28 5:06,北京,海淀区,,4k-8k,0,在校/应届,实习,本科,"弹性工作,免费三餐,租房补贴,下午茶"
8657230,数据分析实习生,北京字节跳动网络技术有限公司,字节跳动,2000人以上,D轮及以上,"内容资讯,短视频","['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",产品|需求|项目类,['项目管理'],[],2021/4/28 5:24,北京,海淀区,,2k-4k,0,在校/应届,实习,本科,"下午茶,健身瑜伽,团队氛围好,用户过亿"
8580015,高级/资深渠道数据分析,北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,"工具类产品,在线教育","['五险一金', '弹性工作', '带薪年假', '免费两餐']",市场|商务类,"['工具类产品', '渠道', '数据分析']","['工具类产品', '渠道', '数据分析']",2021/4/27 19:09,北京,海淀区,,15k-30k,0,5-10年,全职,本科,双休，发展空间大，为你职业发展负责的团队
